"","Name","Plant_ID","Type","Experiment","Cohort","Harvested","Age","Site","Treatment","Line","Genotype","Block"
"M1551P81","8_1382.root","8_1382","root","ecotypes",2008,2011,3,"Jam","field","MIL.70.A","MIL","8_29"
"M1551P29","8_0897.root","8_0897","root","ecotypes",2008,2011,3,"Sil","field","MAH.46.A","MAH","8_19"
"M1551P90","8_0656.root","8_0656","root","ecotypes",2008,2011,3,"Sil","field","MAH.38.B","MAH","8_14"
"M1551P48","8_1013.root","8_1013","root","ecotypes",2008,2011,3,"Jam","field","PAR.22.A2","PAR","8_22"
"M1551P31","8_1048.root","8_1048","root","ecotypes",2008,2011,3,"Jam","field","SILLow.2","SIL","8_22"
"M1551P37","8_0609.root","8_0609","root","ecotypes",2008,2011,3,"Jam","field","SILLow.2","SIL","8_13"
"M1551P72","8_0101.leaf","8_0101","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.60.A","MIL","8_03"
"M1551P67","8_0608.root","8_0608","root","ecotypes",2008,2011,3,"Jam","field","MAH.16.A","MAH","8_13"
"M1551P10","8_0351.leaf","8_0351","leaf","ecotypes",2008,2011,3,"Mil","field","MAH.13.A","MAH","8_08"
"M1551P73","8_0297.root","8_0297","root","ecotypes",2008,2011,3,"Jam","field","JAM.22.A","JAM","8_07"
"M1551P92","8_0593.root","8_0593","root","ecotypes",2008,2011,3,"Jam","field","PAR.10.A6","PAR","8_13"
"M1551P21","8_0203.root","8_0203","root","ecotypes",2008,2011,3,"Sil","field","MAH.5.A","MAH","8_05"
"M1551P83","8_0196.root","8_0196","root","ecotypes",2008,2011,3,"Sil","field","PAR.13.A","PAR","8_05"
"M1551P80","8_1047.root","8_1047","root","ecotypes",2008,2011,3,"Jam","field","MAH.48.A","MAH","8_22"
"M1554P130","8_1064.root","8_1064","root","ecotypes",2008,2011,3,"Sil","field","PAR.29.B2","PAR","8_23"
"M1554P182","8_0167.root","8_0167","root","ecotypes",2008,2011,3,"Jam","field","PAR.17.A1","PAR","8_04"
"M1554P102","8_1400.leaf","8_1400","leaf","ecotypes",2008,2011,3,"Mil","field","MAH.16.A","MAH","8_30"
"M1554P103","8_1368.root","8_1368","root","ecotypes",2008,2011,3,"Jam","field","JAM.15.A","JAM","8_29"
"M1554P119","8_1069.root","8_1069","root","ecotypes",2008,2011,3,"Sil","field","JAM.40.A","JAM","8_23"
"M1554P126","8_0942.leaf","8_0942","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.53.A","MIL","8_20"
"M1554P140","8_0358.leaf","8_0358","leaf","ecotypes",2008,2011,3,"Mil","field","SILLow.2","SIL","8_08"
"M1554P144","8_0114.leaf","8_0114","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.21.B2","MIL","8_03"
"M1554P157","8_0500.leaf","8_0500","leaf","ecotypes",2008,2011,3,"Mil","field","MAH.16.A","MAH","8_11"
"M1554P171","8_0914.leaf","8_0914","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.32.A1","MIL","8_20"
"M1554P184","8_0898.root","8_0898","root","ecotypes",2008,2011,3,"Sil","field","SILLow.2","SIL","8_19"
"M1554P138","8_0318.root","8_0318","root","ecotypes",2008,2011,3,"Jam","field","JAM.40.A","JAM","8_07"
"M1554P132","8_0589.root","8_0589","root","ecotypes",2008,2011,3,"Jam","field","JAM.6.A","JAM","8_13"
"M1554P179","8_1388.root","8_1388","root","ecotypes",2008,2011,3,"Jam","field","SILLow.7","SIL","8_29"
"M1554P101","8_0370.leaf","8_0370","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.32.A1","MIL","8_08"
"M1554P160","8_1203.root","8_1203","root","ecotypes",2008,2011,3,"Sil","field","MAH.38.B","MAH","8_26"
"M1554P128","8_0790.root","8_0790","root","ecotypes",2008,2011,3,"Jam","field","PAR.13.A","PAR","8_17"
"M1554P175","8_1204.root","8_1204","root","ecotypes",2008,2011,3,"Sil","field","SILLow.8","SIL","8_26"
"M1555P214","8_0204.root","8_0204","root","ecotypes",2008,2011,3,"Sil","field","JAM.6.A","JAM","8_05"
"M1555P216","8_1378.root","8_1378","root","ecotypes",2008,2011,3,"Jam","field","MAH.16.A","MAH","8_29"
"M1555P221","8_0157.root","8_0157","root","ecotypes",2008,2011,3,"Jam","field","MIL.54.A","MIL","8_04"
"M1555P231","8_0327.root","8_0327","root","ecotypes",2008,2011,3,"Jam","field","PAR.22.A2","PAR","8_07"
"M1555P250","8_1140.leaf","8_1140","leaf","ecotypes",2008,2011,3,"Mil","field","SILLow.8","SIL","8_24"
"M1555P254","8_0106.leaf","8_0106","leaf","ecotypes",2008,2011,3,"Mil","field","JAM.17.A","JAM","8_03"
"M1555P265","8_1225.root","8_1225","root","ecotypes",2008,2011,3,"Sil","field","MIL.54.A","MIL","8_26"
"M1555P212","8_0773.root","8_0773","root","ecotypes",2008,2011,3,"Jam","field","MAH.9.B","MAH","8_17"
"M1555P232","8_1071.root","8_1071","root","ecotypes",2008,2011,3,"Sil","field","SILupper.2","SIL","8_23"
"M1555P272","8_1389.root","8_1389","root","ecotypes",2008,2011,3,"Jam","field","PAR.9.A1","PAR","8_29"
"M1555P238","8_0663.root","8_0663","root","ecotypes",2008,2011,3,"Sil","field","PAR.13.A","PAR","8_14"
"M1555P225","8_0497.leaf","8_0497","leaf","ecotypes",2008,2011,3,"Mil","field","MIL.60.A","MIL","8_11"
"M1555P245","8_1137.leaf","8_1137","leaf","ecotypes",2008,2011,3,"Mil","field","JAM.1.A","JAM","8_24"
"M1555P207","8_0909.root","8_0909","root","ecotypes",2008,2011,3,"Sil","field","MIL.70.A","MIL","8_19"
"M1555P256","8_0612.root","8_0612","root","ecotypes",2008,2011,3,"Jam","field","MIL.68.B","MIL","8_13"
"M1555P276","8_0900.root","8_0900","root","ecotypes",2008,2011,3,"Sil","field","PAR.22.A2","PAR","8_19"
"M1555P205","8_0195.root","8_0195","root","ecotypes",2008,2011,3,"Sil","field","SILupper.2","SIL","8_05"
"M1555P190","8_0328.root","8_0328","root","ecotypes",2008,2011,3,"Jam","field","MAH.37.A","MAH","8_07"
"M1555P239","8_0174.root","8_0174","root","ecotypes",2008,2011,3,"Jam","field","MAH.37.A","MAH","8_04"
"M1555P240","8_0776.root","8_0776","root","ecotypes",2008,2011,3,"Jam","field","JAM.22.A","JAM","8_17"
"M1955P739","8_0392.leaf","8_0392","leaf","ecotypes",2008,2011,3,"Mah","field","JAM.7.B","JAM","8_09"
