,S11,S119,S12,S125,S129,S132,S135,S139,S14,S142,S144,S147,S165,S167,S168,S17,S170,S174,S180,S183,S190,S194,S197,S202,S214,S236,S238,S239,S25,S250,S253,S254,S269,S276,S288,S294,S30,S303,S306,S307,S308,S318,S336,S344,S353,S354,S360,S40,S48,S53,S54,S57,S6,S60,S67,S68,S71,S78,S8,S82,S89,S93,S95,M1,M10,M11,M12,M13,M14,M15,M2,M3,M4,M5,M6,M7,M8,M9
ASV1,0,0,0,0,0,193,0,8,0,0,74,0,0,0,0,0,0,0,274,0,191,332,0,155,318,159,273,0,20,0,0,63,31,0,0,0,0,104,0,0,0,0,109,29,263,0,5,167,0,0,0,4,314,158,240,0,0,186,0,202,0,145,0,0,0,353,0,498,193,0,0,0,229,0,0,0,168,0
ASV2,0,121,293,0,0,0,0,0,0,0,374,0,0,149,343,209,205,205,74,0,0,0,0,0,0,0,0,231,0,203,0,0,0,39,86,0,0,0,0,214,367,243,89,0,0,0,0,0,0,0,0,185,0,46,0,0,0,0,157,0,0,45,0,0,0,0,0,0,0,0,170,0,0,0,285,261,121,197
ASV3,33,38,57,36,14,8,249,178,31,11,0,23,56,0,20,37,0,8,13,11,0,22,61,0,0,7,65,30,88,23,161,0,0,0,0,19,53,12,0,3,38,6,12,198,0,12,75,52,41,46,62,6,29,69,98,196,30,23,23,71,40,15,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV4,202,0,0,113,0,0,0,0,320,14,0,192,3,67,0,57,0,0,0,82,0,36,51,0,0,29,0,14,14,0,0,0,0,0,0,49,0,62,0,15,0,0,0,0,0,256,0,0,206,138,0,0,0,0,0,0,149,79,75,0,150,23,100,2,0,0,0,0,0,35,0,50,0,0,0,0,0,0
ASV5,0,19,4,0,224,0,0,0,0,365,0,0,0,0,0,0,0,0,0,219,135,0,191,0,0,0,0,0,0,0,4,0,0,0,0,0,0,161,0,0,0,0,0,9,0,0,162,116,17,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,433,0,125,388,0,8,0,264,0,0,0,105
ASV7,0,0,0,165,0,0,0,0,0,0,0,33,104,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,103,89,0,0,5,0,2,0,0,0,0,0,0,111,38,206,0,0,0,0,0,0,0,0,0,55,0,53,281,0,5,0,0,0,0,91,141,39,42,0,0,0,0
ASV8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV9,0,0,0,0,0,0,0,0,11,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
