,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV12,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV22,ASV23,ASV24,ASV25,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV37,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV50,ASV51,ASV52,ASV53,ASV54,ASV55,ASV56,ASV57,ASV58,ASV59,ASV60,ASV61,ASV62,ASV63,ASV64,ASV65,ASV66,ASV67,ASV68,ASV69,ASV70,ASV71,ASV72,ASV73,ASV74,ASV75,ASV76,ASV77,ASV78,ASV79,ASV80,ASV81,ASV82,ASV83,ASV84,ASV85,ASV86,ASV87,ASV88,ASV89,ASV90,ASV91,ASV92,ASV93,ASV94,ASV95,ASV96,ASV97,ASV98,ASV99,ASV100,ASV101,ASV102,ASV103,ASV104,ASV105,ASV106,ASV107,ASV108,ASV109,ASV110,ASV111,ASV112,ASV113,ASV114,ASV115,ASV116,ASV117,ASV118,ASV119,ASV120,ASV121,ASV122,ASV123,ASV124,ASV125,ASV126,ASV127,ASV128,ASV129,ASV130,ASV131,ASV132,ASV133,ASV134,ASV135,ASV136,ASV137,ASV138,ASV139,ASV140,ASV141,ASV142,ASV143,ASV144,ASV145,ASV146,ASV147,ASV148,ASV149,ASV150,ASV151,ASV152,ASV153,ASV154,ASV155,ASV156,ASV157,ASV158,ASV159,ASV160,ASV161,ASV162,ASV163,ASV164,ASV165,ASV166,ASV167,ASV168,ASV169,ASV170,ASV171,ASV172,ASV173,ASV174,ASV175,ASV176,ASV177,ASV178,ASV179,ASV180,ASV181,ASV182,ASV183,ASV184,ASV185,ASV186,ASV187,ASV188,ASV189,ASV190,ASV191,ASV192,ASV193,ASV194,ASV195,ASV196,ASV197,ASV198,ASV199,ASV200,ASV201,ASV202,ASV203,ASV204,ASV205,ASV206,ASV207,ASV208,ASV209,ASV210,ASV211,ASV212,ASV213,ASV214,ASV215,ASV216,ASV217,ASV218,ASV219,ASV220,ASV221,ASV222,ASV223,ASV224,ASV225,ASV226,ASV227,ASV228,ASV229,ASV230,ASV231,ASV232
F3D0,579,345,449,430,154,470,282,184,45,158,17,217,52,104,93,80,100,69,67,65,42,44,280,54,26,70,75,31,43,57,62,28,74,0,34,45,6,58,27,18,0,27,29,0,50,10,0,0,8,42,35,55,0,5,50,0,13,0,18,84,0,0,62,0,0,19,24,20,47,0,41,0,92,0,128,0,0,26,10,0,5,0,0,14,0,24,7,46,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,13,4,0,0,22,0,9,0,0,0,7,0,19,0,0,10,11,0,34,0,16,10,0,0,19,0,0,0,0,0,0,19,7,0,0,17,0,57,0,16,8,0,0,0,0,0,0,7,0,0,0,0,9,19,19,0,0,0,0,0,21,10,0,0,11,0,9,0,0,0,0,10,6,0,0,0,0,3,0,0,0,5,3,0,0,10,0,0,0,0,14,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
F3D1,405,353,231,69,140,41,96,190,69,106,102,40,129,28,325,0,0,31,109,0,53,14,57,136,8,69,103,45,120,141,25,30,72,0,103,54,14,53,34,21,0,32,71,0,64,19,0,72,24,55,45,46,0,11,24,0,21,0,34,48,0,0,54,37,0,19,0,54,38,0,41,10,12,0,0,12,0,3,12,0,20,0,15,0,2,11,12,52,0,31,0,0,19,0,43,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,17,0,8,0,24,0,24,0,0,0,6,0,15,0,15,7,0,0,18,0,0,31,0,0,26,7,0,9,0,11,0,0,7,0,7,0,9,3,0,3,0,0,29,0,0,0,0,0,7,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
F3D141,444,362,345,502,189,331,243,321,167,130,168,146,12,65,33,103,149,43,6,0,45,86,51,15,57,0,0,9,36,0,12,57,22,0,0,0,32,20,27,13,66,41,0,0,18,0,0,8,19,0,0,0,0,8,8,18,0,0,28,0,29,0,0,6,0,14,16,0,0,45,11,16,22,0,6,0,30,17,0,0,12,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,15,13,0,0,10,9,8,0,20,0,0,0,0,0,7,0,14,0,0,11,0,0,0,0,4,0,0,0,10,0,0,10,0,0,0,0,0,13,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
F3D142,289,304,158,164,180,181,163,89,89,78,42,98,103,64,12,52,116,30,7,0,0,35,13,6,14,0,0,0,0,0,21,8,10,0,0,4,0,0,12,7,12,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,0,0,0,0,23,0,0,0,0,0,28,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3D143,228,176,204,231,130,244,152,83,109,67,78,111,43,61,9,40,0,20,0,0,12,67,0,0,0,0,0,14,4,0,22,24,13,0,0,0,14,0,14,11,39,37,0,0,8,0,0,0,14,0,0,0,0,7,8,0,0,0,0,0,24,3,0,6,0,4,10,0,0,22,0,13,18,11,0,0,15,0,0,0,9,0,0,0,0,0,11,0,0,3,0,14,0,0,0,0,5,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3D144,421,277,302,357,104,353,240,41,158,155,269,146,16,81,11,113,0,45,6,0,45,14,15,0,13,0,0,20,10,0,0,10,16,0,0,0,17,16,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,8,14,22,0,0,0,0,16,0,0,0,2,0,21,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,0,10,3,0,6,0,0,8,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
F3D145,645,489,522,583,307,476,396,125,202,229,317,258,22,125,15,126,195,105,5,121,39,13,11,8,20,0,6,18,11,0,0,18,13,0,0,0,13,17,0,6,44,14,0,5,0,0,0,0,0,0,0,0,0,21,11,13,0,0,0,3,18,5,0,10,4,5,7,0,0,0,0,0,0,0,14,5,0,6,0,0,0,0,9,0,0,0,14,0,0,3,0,9,0,0,0,0,10,13,0,0,0,14,5,0,0,9,0,0,2,0,4,0,10,0,0,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,3,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3D146,325,230,254,388,179,275,214,71,113,88,178,147,4,58,25,35,0,35,3,78,17,78,18,48,16,19,36,36,35,0,0,23,23,0,0,0,13,26,32,23,96,31,0,0,21,0,0,11,14,0,0,0,0,5,19,37,0,0,16,0,5,0,0,14,0,15,3,0,0,12,0,12,0,15,0,12,9,6,7,0,11,0,19,0,0,13,0,0,0,3,34,0,26,0,0,0,16,13,0,0,14,13,14,0,16,0,0,0,0,8,0,0,14,0,13,0,0,0,11,0,16,0,17,0,11,0,0,0,0,7,12,0,0,0,0,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3D147,1495,1215,913,1089,453,1182,861,75,769,269,448,560,147,292,74,306,260,143,41,339,121,79,50,15,110,10,34,33,17,0,51,47,12,0,0,26,46,24,43,38,38,20,0,0,12,13,0,11,43,0,11,0,0,37,31,90,18,0,28,26,58,0,0,0,0,13,29,0,23,18,8,0,0,45,18,0,25,12,66,0,41,0,18,11,5,9,34,0,0,18,20,24,33,0,0,0,11,0,0,67,14,0,11,0,30,21,0,25,0,0,0,0,0,0,16,0,0,0,11,0,13,13,0,0,8,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,13,0,9,0,0,12,7,5,0,0,0,0,0,0,0,0,9,0,0,11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0
F3D148,863,729,581,853,443,872,579,507,409,198,411,432,18,199,56,270,259,117,55,274,112,94,26,52,183,12,8,14,22,0,58,44,9,0,0,0,21,17,50,21,12,48,0,0,15,9,0,15,34,0,0,0,0,13,21,62,0,0,22,0,94,0,0,11,0,19,68,0,0,18,0,14,0,13,31,0,21,16,18,0,7,0,5,23,0,0,21,0,0,18,16,0,13,39,0,0,18,22,0,0,19,23,9,0,15,14,0,0,0,0,0,0,15,0,6,0,0,0,12,0,13,0,0,0,9,0,0,0,24,0,11,0,0,0,0,0,0,0,0,11,0,11,0,0,0,5,0,4,9,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,5,0,0,7,0,9,0,9,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
