OTU,T1P10,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T1P8,T1P9,T2P10,T2P1,T2P2,T2P3,T2P5,T2P8,T2P9,T2V10,T2V1,T2V2,T2V3,T2V4,T2V5,T2V6,T2V7,T2V8,T2V9,T3P10,T3P1,T3P2,T3P3,T3P4,T3P5,T3P6,T3P7,T3P8,T3P9,T3V10,T3V1,T3V2,T3V3,T3V4,T3V5,T3V6,T3V7,T3V8,T3V9,T4P10,T4P1,T4P2,T4P3,T4P4,T4P5,T4P6,T4P7,T4P8,T4P9,T4V10,T4V1,T4V2,T4V3,T4V4,T4V6,T4V8,T4V9,T5P10,T5P1,T5P2,T5P3,T5P4,T5P5,T5P6,T5P7,T5P8,T5P9,T5V10,T5V1,T5V2,T5V3,T5V4,T5V5,T5V6,T5V7,T5V8,T5V9
OTU4,11,1829,10,10,12,11288,5,24,6,9,1157,26264,22471,16036,22759,19692,20803,2,1,0,1,0,0,93,48,274,0,0,4,403,914,4,2308,3,5,1572,1,2,658,0,0,0,0,0,1,483,0,1,1399,0,0,8075,2,2,0,0,0,0,0,0,0,0,1,0,0,1,16363,0,2,7,2,4,5121,1,0,119,0,211,1,1,0,1,65,0,336
OTU5,2,4112,1,1,1,1,0,3,0,3,49,45,1,2,17204,0,21,25,5187,1,619,1,2223,455,0,6,315,641,0,0,0,5,1018,726,5,0,1,66,1467,681,368,0,0,154,0,1,561,12374,9398,5116,9962,3772,8864,1204,6867,8811,8153,827,1364,1227,2163,1138,1562,4818,1005,4191,5,4628,4058,1197,0,0,0,301,0,650,2115,597,344,209,778,465,878,759,805
OTU1,362,4623,1261,221,0,0,169,583,0,1068,129,27,72,0,35,25,0,1933,10314,1715,1862,1410,0,2834,5574,3381,5608,304,0,0,0,0,0,1311,5,0,0,595,3089,969,547,332,131,128,467,800,1190,1595,910,434,2043,0,1365,367,1724,1025,1070,9344,10163,1686,5153,449,9970,2024,131,107,0,0,0,0,0,0,1755,166,1275,4993,349,930,694,1964,958,1841,26151,727,753
OTU3,1,4718,90,2,4,2,19479,36106,12757,3,205,1868,1073,14433,0,0,61,2556,0,0,0,0,0,0,0,0,0,0,0,0,0,7324,0,0,0,0,0,3677,0,2531,930,1182,2235,247,1007,3081,2023,0,0,0,0,0,0,0,0,0,0,1413,0,0,154,0,0,2,258,0,0,2348,0,0,0,0,0,0,0,2710,515,1157,2580,791,2325,1855,2063,2839,1643
OTU16,4158,3,1868,15907,7446,1909,5644,1524,2903,3901,14050,402,364,509,2786,270,309,298,0,153,0,28,0,0,7,71,0,3573,0,147,2722,231,705,1445,611,12403,0,54,0,134,475,1277,704,13,742,846,380,1091,1,1153,1466,12164,276,15,718,1983,1,171,0,4,266,90,0,0,53,143,223,0,294,3,0,57,1257,3123,0,267,1121,562,703,0,461,373,398,367,464
OTU2,0,1374,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,3060,6,6,4,4,6,2,7,10,7,0,0,0,0,0,0,0,0,0,0,3502,2,3557,1934,3519,4888,3543,4921,3185,5245,0,0,1,0,0,1,0,0,0,0,1959,9,1,1481,329,3,0,1318,0,0,0,0,0,0,0,0,0,0,2304,7065,3776,4074,1049,4583,3151,4967,5471,4562
OTU7,0,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,645,3,1,3,7,1,4,13,1,0,0,0,0,0,0,0,0,0,0,659,8863,455,9317,2720,1394,1386,837,6603,139,115,0,0,0,0,0,0,110,0,0,7554,5209,304,5031,2130,2119,203,8667,0,0,0,0,0,0,0,0,0,0,1219,4455,3125,3831,1780,3303,1963,837,4417,6921
OTU215,2,646,5,6,4,4850,0,6,3,2,423,10661,8912,6994,9642,8218,8569,0,0,0,1,0,0,40,17,67,1,1,1,143,382,1,619,2,0,512,2,0,198,0,0,0,0,0,1,139,0,0,543,0,0,3452,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6539,0,0,1,1,0,2075,1,0,31,0,57,0,0,0,0,22,0,56
OTU9,473,1504,0,579,2071,264,1265,160,0,4691,0,436,498,1196,0,0,185,989,1762,0,250,0,0,141,0,0,178,0,608,97,0,0,0,0,0,0,0,919,0,1975,1541,2260,1227,2150,1483,276,1382,847,3403,3187,943,0,1258,84,349,0,2725,585,97,0,1219,156,247,647,432,0,205,0,0,0,909,0,730,0,0,981,2933,1993,691,670,1258,1092,1161,1689,1517
OTU10,9862,84,8899,705,737,3,526,12,509,886,7565,3559,5821,219,3635,1211,620,0,0,0,0,0,0,0,0,0,0,690,2564,2,0,232,1951,0,1,23,0,0,0,0,0,0,321,268,0,0,0,0,0,0,0,2273,0,166,0,0,1115,0,0,0,0,0,0,0,0,526,0,0,1277,0,0,1011,830,470,2834,0,0,416,0,325,273,0,0,195,0
