OTU,Phylum,ClassI,Class,Order,Family
OTU1439,Ascomycota,Arthoniomycetes,Arthoniomycetes, Roccellaceae, Sigridea
OTU1515,Ascomycota,Arthoniomycetes,Arthoniomycetes, Phaeococcomycetaceae, Phaeococcomyces
OTU291,Ascomycota,Arthoniomycetes,Arthoniomycetes, Phaeococcomycetaceae, Phaeococcomyces
OTU3013,Ascomycota,Arthoniomycetes,Arthoniomycetes, Phaeococcomycetaceae, Phaeococcomyces
OTU4217,Ascomycota,Arthoniomycetes,Arthoniomycetes, Phaeococcomycetaceae, Phaeococcomyces
OTU4564,Ascomycota,Arthoniomycetes,Arthoniomycetes, Phaeococcomycetaceae, Phaeococcomyces
OTU1,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Cladosporiaceae
OTU1010,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Lophiostomataceae
OTU1016,Ascomycota,Dothideomycetes,Dothideomycetes, Leptospora, Leptospora rubella
OTU1055,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Pleosporineae
OTU1065,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Pleosporineae
OTU1067,Ascomycota,Dothideomycetes,Dothideomycetes, Dothideales, Dothideaceae
OTU107,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, unclassified Pleosporales
OTU1071,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Cladosporiaceae
OTU1072,Ascomycota,Dothideomycetes,Dothideomycetes, Venturiales, Venturiaceae
OTU1074,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1075,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU1080,Ascomycota,Dothideomycetes,Dothideomycetes, Myriangiales, Myriangiaceae
OTU1087,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU1089,Ascomycota,Dothideomycetes,Dothideomycetes, Myriangiales, Myriangiaceae
OTU1091,Ascomycota,Dothideomycetes,Dothideomycetes, Dothideales, Aureobasidiaceae
OTU1093,Ascomycota,Dothideomycetes,Dothideomycetes, Venturiales, Sympoventuriaceae
OTU1147,Ascomycota,Dothideomycetes,Dothideomycetes, Dothideomycetes sp. CCFEE 5409,
OTU1155,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Sporormiaceae
OTU1156,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU1158,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, unclassified Pleosporales
OTU1172,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Dissoconiaceae
OTU1187,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1191,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU12,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Cladosporiaceae
OTU1211,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1213,Ascomycota,Dothideomycetes,Dothideomycetes, Dothideales, mitosporic Dothideales
OTU1223,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1226,Ascomycota,Dothideomycetes,Dothideomycetes, Leptospora, Leptospora rubella
OTU1234,Ascomycota,Dothideomycetes,Dothideomycetes, Myriangiales, Myriangiaceae
OTU1235,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Cladosporiaceae
OTU1238,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU1264,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1274,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU1286,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU1288,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Pleosporineae
OTU1289,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU129,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Pleosporineae
OTU1296,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Pleosporineae
OTU13,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU1302,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Corynesporascaceae
OTU1338,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1339,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Lophiostomataceae
OTU1357,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Lophiostomataceae
OTU1364,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Pleosporineae
OTU1371,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU139,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Pleosporineae
OTU1390,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU14,Ascomycota,Dothideomycetes,Dothideomycetes,,
OTU1403,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, unclassified Pleosporales
OTU1412,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1429,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1432,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU144,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1450,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1452,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Capnodiales incertae sedis
OTU1467,Ascomycota,Dothideomycetes,Dothideomycetes, Myriangiales, Elsinoaceae
OTU1472,Ascomycota,Dothideomycetes,Dothideomycetes, Dothideales, Aureobasidiaceae
OTU1477,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Pleosporineae
OTU1479,Ascomycota,Dothideomycetes,Dothideomycetes, Botryosphaeriales, Saccharataceae
OTU1484,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1499,Ascomycota,Dothideomycetes,Dothideomycetes, Phaeocryptopus, Phaeocryptopus gaeumannii
OTU1528,Ascomycota,Dothideomycetes,Dothideomycetes,,
OTU1533,Ascomycota,Dothideomycetes,Dothideomycetes, Dothideales, unclassified Dothideales
OTU1536,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU154,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1560,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Dissoconiaceae
OTU1566,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU1574,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1578,Ascomycota,Dothideomycetes,Dothideomycetes, Dothideales, Dothideaceae
OTU1592,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, mitosporic Capnodiales
OTU16,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU160,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1618,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Capnodiaceae
OTU1639,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Teratosphaeriaceae
OTU1644,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, unclassified Pleosporales
OTU1659,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Dissoconiaceae
OTU167,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
OTU1672,Ascomycota,Dothideomycetes,Dothideomycetes, Pleosporales, Pleosporineae
OTU1686,Ascomycota,Dothideomycetes,Dothideomycetes,,
OTU1689,Ascomycota,Dothideomycetes,Dothideomycetes, Capnodiales, Mycosphaerellaceae
