Sample,Terrace,Species,Replicate,EcoType,Carbon ,Nitrogen,Phenolics,Aluminum,Boron,Calcium,Cadmium,Copper,Iron,Potassium,Magnesium,Manganese,Molybdenum,Sodium,Phosphorus,Lead,Sulfur,Silicon,Zinc
T1P1,One,Pinus,1,T1P,43.69,1.08,1.8,595.98,21,2666.47,0.09,6.42,54.1,7562.62,1776.28,292.93,0.71,1444.15,1722.58,0.23,1309.67,30.26,10.89
T1P10,One,Pinus,10,T1P,42.9,1.27,3.3,943.3,8.09,2326.12,0.18,10.7,64.44,7504.85,1004.57,164.74,0.17,3136.32,1534.81,11.54,1510.09,203.97,254.11
T1P2,One,Pinus,2,T1P,43.92,1.91,1.8,554.2,15.08,2195.76,0.17,11.78,71.65,8356.52,1265.36,174.97,0.56,4610.4,1312.41,0.37,1567.76,124.88,34.01
T1P3,One,Pinus,3,T1P,45.14,1.03,1.2,621.11,22.46,3770.21,0.11,8.42,104.53,7632.2,1509.34,353.42,0.31,2450.92,1309.94,0.37,1187.95,192.08,40.75
T1P4,One,Pinus,4,T1P,46.88,1.36,2,389.57,17.64,4058.04,0.17,9.17,85.26,6418.75,2075.4,385.76,0,3875.85,1543.13,0.41,1357.13,179.89,38.99
T1P5,One,Pinus,5,T1P,45.11,1.19,2.4,655.62,15.78,2979.17,0.05,7,178.29,7663.6,1060.83,207.49,1.24,1424.25,1107.16,0.59,1166.95,83.99,23.81
T1P6,One,Pinus,6,T1P,48.94,1.22,2.9,1354.08,10.57,1596.46,0.15,4.8,140.26,4766.98,1089.47,109.39,0.21,4732.8,1207.01,0.59,1228.53,102.34,33.26
T1P7,One,Pinus,7,T1P,45.28,1.26,,760.13,18.6,2821.72,0.18,8.12,134.34,10865.72,1853.93,169.69,0.23,5082.84,1811.48,0.81,1719.48,95.58,39.2
T1P8,One,Pinus,8,T1P,46.92,1.15,1.5,425.68,17.26,1489.63,0.17,6.47,68.66,9187.78,1021.03,243.53,0,2632.48,1096.46,0.06,1165.33,54.36,27.47
T1P9,One,Pinus,9,T1P,43.4,1.11,4.2,2145.09,12.94,1516.45,0.07,5.6,57.56,7147.54,1155.09,127.75,0.19,1716.13,1309.36,0.5,1032.73,50.58,12.88
